+-------+--------+-----------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                        URI                                        |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+-----------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 227   | GET    | /api/livestream/\d+/livecomment                                                   | 0.096  | 3.844  | 180.776 | 0.796  | 3.064  |
| 261   | GET    | /api/livestream/\d+/reaction                                                      | 0.004  | 3.036  | 163.168 | 0.625  | 2.872  |
| 28    | GET    | /api/livestream/search?limit=50                                                   | 0.164  | 7.004  | 121.248 | 4.330  | 7.004  |
| 6     | GET    | /api/user/.+/statistics                                                           | 3.216  | 20.000 | 86.488  | 14.415 | 20.000 |
| 289   | POST   | /api/livestream/\d+/livecomment                                                   | 0.004  | 0.380  | 56.012  | 0.194  | 0.376  |
| 80    | POST   | /api/livestream/reservation                                                       | 0.004  | 1.620  | 47.288  | 0.591  | 1.620  |
| 255   | POST   | /api/register                                                                     | 0.032  | 0.416  | 47.164  | 0.185  | 0.360  |
| 12    | POST   | /api/livestream/\d+/moderate                                                      | 0.216  | 6.792  | 44.152  | 3.679  | 6.792  |
| 1907  | GET    | /api/user/.+/icon                                                                 | 0.004  | 0.104  | 20.572  | 0.011  | 0.052  |
| 216   | POST   | /api/livestream/\d+/reaction                                                      | 0.008  | 0.228  | 20.344  | 0.094  | 0.200  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%B3%E3%83%A9%E3%83%9C%E9%85%8D%E4%BF%A1          | 2.756  | 10.732 | 13.488  | 6.744  | 10.732 |
| 1     | POST   | /api/initialize                                                                   | 12.756 | 12.756 | 12.756  | 12.756 | 12.756 |
| 2     | GET    | /api/livestream/.+/statistics                                                     | 5.640  | 5.832  | 11.472  | 5.736  | 5.832  |
| 1     | GET    | /api/livestream/search?tag=%E6%95%99%E8%82%B2                                     | 10.628 | 10.628 | 10.628  | 10.628 | 10.628 |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A8%E3%82%AC                                     | 10.216 | 10.216 | 10.216  | 10.216 | 10.216 |
| 251   | POST   | /api/icon                                                                         | 0.016  | 0.160  | 10.040  | 0.040  | 0.136  |
| 1     | GET    | /api/livestream/search?tag=DJ%E3%82%BB%E3%83%83%E3%83%88                          | 8.240  | 8.240  | 8.240   | 8.240  | 8.240  |
| 73    | GET    | /api/livestream                                                                   | 0.012  | 0.456  | 6.672   | 0.091  | 0.456  |
| 261   | POST   | /api/login                                                                        | 0.008  | 0.048  | 2.308   | 0.009  | 0.036  |
| 27    | GET    | /api/livestream/\d+/report                                                        | 0.008  | 0.548  | 1.704   | 0.063  | 0.548  |
| 19    | GET    | /api/livestream/\d+/ngwords                                                       | 0.008  | 0.144  | 1.244   | 0.065  | 0.144  |
| 24    | POST   | /api/livestream/\d+/enter                                                         | 0.004  | 0.056  | 0.480   | 0.020  | 0.056  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1          | 0.456  | 0.456  | 0.456   | 0.456  | 0.456  |
| 1     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                     | 0.448  | 0.448  | 0.448   | 0.448  | 0.448  |
| 59    | GET    | /api/tag                                                                          | 0.004  | 0.024  | 0.432   | 0.007  | 0.024  |
| 1     | GET    | /api/livestream/search?tag=%E5%AE%87%E5%AE%99                                     | 0.416  | 0.416  | 0.416   | 0.416  | 0.416  |
| 1     | GET    | /api/livestream/search?tag=%E5%A4%9C%E3%81%B5%E3%81%8B%E3%81%97                   | 0.384  | 0.384  | 0.384   | 0.384  | 0.384  |
| 1     | GET    | /api/livestream/search?tag=%E6%89%8B%E7%9B%B8                                     | 0.380  | 0.380  | 0.380   | 0.380  | 0.380  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%95%E3%83%8F%E3%83%83%E3%82%AF | 0.360  | 0.360  | 0.360   | 0.360  | 0.360  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%88%E3%83%BC%E3%82%AF%E9%85%8D%E4%BF%A1          | 0.356  | 0.356  | 0.356   | 0.356  | 0.356  |
| 1     | GET    | /api/livestream/search?tag=%E6%AD%B4%E5%8F%B2                                     | 0.348  | 0.348  | 0.348   | 0.348  | 0.348  |
| 1     | GET    | /api/livestream/search?tag=%E6%8A%95%E8%B3%87                                     | 0.344  | 0.344  | 0.344   | 0.344  | 0.344  |
| 14    | DELETE | /api/livestream/\d+/exit                                                          | 0.004  | 0.036  | 0.172   | 0.012  | 0.036  |
| 5     | GET    | /api/user/.+/theme                                                                | 0.004  | 0.012  | 0.040   | 0.008  | 0.012  |
| 1     | GET    | /api/payment                                                                      | 0.036  | 0.036  | 0.036   | 0.036  | 0.036  |
| 3     | GET    | /api/user/me                                                                      | 0.004  | 0.004  | 0.008   | 0.003  | 0.004  |
| 1     | GET    | /api/livestream/7497                                                              | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
| 1     | GET    | /api/user/test                                                                    | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  |
+-------+--------+-----------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
