+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                 URI                                                 |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 224   | GET    | /api/livestream/\d+/livecomment                                                                     | 0.004  | 3.572  | 184.036 | 0.822  | 2.972  |
| 255   | GET    | /api/livestream/\d+/reaction                                                                        | 0.004  | 3.432  | 165.024 | 0.647  | 3.356  |
| 29    | GET    | /api/livestream/search?limit=50                                                                     | 0.164  | 6.936  | 119.988 | 4.138  | 6.936  |
| 6     | GET    | /api/user/.+/statistics                                                                             | 4.080  | 20.000 | 88.272  | 14.712 | 20.000 |
| 276   | POST   | /api/livestream/\d+/livecomment                                                                     | 0.004  | 0.488  | 51.500  | 0.187  | 0.360  |
| 13    | POST   | /api/livestream/\d+/moderate                                                                        | 0.216  | 8.432  | 49.056  | 3.774  | 8.432  |
| 249   | POST   | /api/register                                                                                       | 0.040  | 0.400  | 48.000  | 0.193  | 0.380  |
| 81    | POST   | /api/livestream/reservation                                                                         | 0.004  | 1.488  | 46.388  | 0.573  | 1.488  |
| 1896  | GET    | /api/user/.+/icon                                                                                   | 0.004  | 0.092  | 20.416  | 0.011  | 0.052  |
| 213   | POST   | /api/livestream/\d+/reaction                                                                        | 0.008  | 0.248  | 19.364  | 0.091  | 0.216  |
| 1     | POST   | /api/initialize                                                                                     | 14.052 | 14.052 | 14.052  | 14.052 | 14.052 |
| 2     | GET    | /api/livestream/.+/statistics                                                                       | 5.657  | 5.760  | 11.417  | 5.708  | 5.760  |
| 1     | GET    | /api/livestream/search?tag=%E8%AA%9E%E5%AD%A6%E5%AD%A6%E7%BF%92                                     | 10.608 | 10.608 | 10.608  | 10.608 | 10.608 |
| 246   | POST   | /api/icon                                                                                           | 0.016  | 0.176  | 9.892   | 0.040  | 0.132  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%BC%E3%83%88%E9%85%8D%E4%BF%A1                            | 8.928  | 8.928  | 8.928   | 8.928  | 8.928  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC                                     | 8.628  | 8.628  | 8.628   | 8.628  | 8.628  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%81%E3%83%A3%E3%83%83%E3%83%88%E4%BA%A4%E6%B5%81                   | 8.572  | 8.572  | 8.572   | 8.572  | 8.572  |
| 67    | GET    | /api/livestream                                                                                     | 0.012  | 0.432  | 6.140   | 0.092  | 0.432  |
| 1     | GET    | /api/livestream/search?tag=%E5%A4%9C%E3%81%B5%E3%81%8B%E3%81%97                                     | 4.100  | 4.100  | 4.100   | 4.100  | 4.100  |
| 28    | GET    | /api/livestream/\d+/report                                                                          | 0.004  | 1.000  | 2.460   | 0.088  | 1.000  |
| 255   | POST   | /api/login                                                                                          | 0.004  | 0.052  | 2.208   | 0.009  | 0.040  |
| 20    | GET    | /api/livestream/\d+/ngwords                                                                         | 0.004  | 0.068  | 0.916   | 0.046  | 0.068  |
| 2     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                                       | 0.428  | 0.432  | 0.860   | 0.430  | 0.432  |
| 25    | POST   | /api/livestream/\d+/enter                                                                           | 0.008  | 0.056  | 0.480   | 0.019  | 0.056  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                            | 0.456  | 0.456  | 0.456   | 0.456  | 0.456  |
| 60    | GET    | /api/tag                                                                                            | 0.008  | 0.036  | 0.452   | 0.008  | 0.036  |
| 1     | GET    | /api/livestream/search?tag=%E3%81%8A%E6%96%99%E7%90%86%E9%85%8D%E4%BF%A1                            | 0.412  | 0.412  | 0.412   | 0.412  | 0.412  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%9E%E3%82%B8%E3%83%83%E3%82%AF                                     | 0.412  | 0.412  | 0.412   | 0.412  | 0.412  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%90%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB | 0.412  | 0.412  | 0.412   | 0.412  | 0.412  |
| 1     | GET    | /api/livestream/search?tag=%E5%BF%83%E7%90%86%E5%AD%A6                                              | 0.380  | 0.380  | 0.380   | 0.380  | 0.380  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%88%E3%83%BC%E3%82%AF%E9%85%8D%E4%BF%A1                            | 0.360  | 0.360  | 0.360   | 0.360  | 0.360  |
| 1     | GET    | /api/livestream/search?tag=%E7%A4%BE%E4%BC%9A%E5%95%8F%E9%A1%8C                                     | 0.360  | 0.360  | 0.360   | 0.360  | 0.360  |
| 16    | DELETE | /api/livestream/\d+/exit                                                                            | 0.012  | 0.080  | 0.344   | 0.022  | 0.080  |
| 5     | GET    | /api/user/.+/theme                                                                                  | 0.008  | 0.028  | 0.072   | 0.014  | 0.028  |
| 1     | GET    | /api/livestream/7497                                                                                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  |
| 1     | GET    | /api/user/test                                                                                      | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
| 1     | GET    | /api/payment                                                                                        | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
| 3     | GET    | /api/user/me                                                                                        | 0.004  | 0.004  | 0.004   | 0.001  | 0.004  |
+-------+--------+-----------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
