+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                                     URI                                                      |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+--------------------------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 532   | GET    | /api/livestream/\d+/livecomment                                                                              | 0.004  | 2.416  | 359.770 | 0.676  | 2.164  |
| 596   | GET    | /api/livestream/\d+/reaction                                                                                 | 0.004  | 2.640  | 317.911 | 0.533  | 2.172  |
| 14    | GET    | /api/user/.+/statistics                                                                                      | 2.524  | 20.001 | 195.634 | 13.974 | 20.001 |
| 50    | GET    | /api/livestream/search?limit=50                                                                              | 0.164  | 5.508  | 185.515 | 3.710  | 5.508  |
| 33    | POST   | /api/livestream/\d+/moderate                                                                                 | 0.204  | 10.920 | 146.553 | 4.441  | 10.920 |
| 648   | POST   | /api/livestream/\d+/livecomment                                                                              | 0.004  | 0.308  | 101.159 | 0.156  | 0.289  |
| 513   | POST   | /api/register                                                                                                | 0.004  | 0.440  | 95.041  | 0.185  | 0.364  |
| 162   | POST   | /api/livestream/reservation                                                                                  | 0.004  | 1.684  | 91.633  | 0.566  | 1.584  |
| 4681  | GET    | /api/user/.+/icon                                                                                            | 0.004  | 0.160  | 37.921  | 0.008  | 0.036  |
| 500   | POST   | /api/livestream/\d+/reaction                                                                                 | 0.008  | 0.252  | 30.320  | 0.061  | 0.148  |
| 2     | POST   | /api/initialize                                                                                              | 12.812 | 13.096 | 25.908  | 12.954 | 13.096 |
| 4     | GET    | /api/livestream/.+/statistics                                                                                | 5.676  | 5.752  | 22.856  | 5.714  | 5.752  |
| 505   | POST   | /api/icon                                                                                                    | 0.012  | 0.212  | 16.273  | 0.032  | 0.108  |
| 4     | GET    | /api/livestream/search?tag=%E6%96%B0%E6%83%85%E5%A0%B1%E7%99%BA%E8%A1%A8                                     | 0.416  | 9.884  | 11.156  | 2.789  | 9.884  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B3%E3%83%A9%E3%83%9C%E9%85%8D%E4%BF%A1                                     | 10.812 | 10.812 | 10.812  | 10.812 | 10.812 |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E7%94%9F%E6%94%BE%E9%80%81                   | 10.045 | 10.045 | 10.045  | 10.045 | 10.045 |
| 122   | GET    | /api/livestream                                                                                              | 0.012  | 0.336  | 9.788   | 0.080  | 0.276  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%9B%E3%83%A9%E3%83%BC%E3%82%B2%E3%83%BC%E3%83%A0                            | 9.452  | 9.452  | 9.452   | 9.452  | 9.452  |
