+-------+--------+--------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                                            URI                                             |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+--------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
| 11    | GET    | /api/user/.+/statistics                                                                    | 5.308  | 20.000 | 159.845 | 14.531 | 20.000 |
| 561   | GET    | /api/livestream/\d+/livecomment                                                            | 0.004  | 1.196  | 145.128 | 0.259  | 0.988  |
| 595   | GET    | /api/livestream/\d+/reaction                                                               | 0.004  | 1.276  | 137.880 | 0.232  | 0.856  |
| 83    | GET    | /api/livestream/search?limit=50                                                            | 0.080  | 2.176  | 112.556 | 1.356  | 2.176  |
| 181   | POST   | /api/register                                                                              | 0.040  | 0.948  | 98.636  | 0.545  | 0.940  |
| 32    | POST   | /api/livestream/\d+/moderate                                                               | 0.228  | 2.748  | 60.200  | 1.881  | 2.748  |
| 4558  | GET    | /api/user/.+/icon                                                                          | 0.004  | 0.276  | 53.292  | 0.012  | 0.060  |
| 220   | POST   | /api/livestream/reservation                                                                | 0.004  | 0.596  | 48.060  | 0.218  | 0.580  |
| 589   | POST   | /api/livestream/\d+/livecomment                                                            | 0.008  | 0.208  | 39.064  | 0.066  | 0.164  |
| 527   | POST   | /api/livestream/\d+/reaction                                                               | 0.004  | 0.280  | 20.624  | 0.039  | 0.100  |
| 2     | GET    | /api/livestream/.+/statistics                                                              | 7.312  | 7.332  | 14.644  | 7.322  | 7.332  |
| 1     | POST   | /api/initialize                                                                            | 12.064 | 12.064 | 12.064  | 12.064 | 12.064 |
| 194   | POST   | /api/icon                                                                                  | 0.012  | 1.080  | 7.920   | 0.041  | 0.348  |
| 53    | GET    | /api/livestream                                                                            | 0.004  | 0.508  | 3.380   | 0.064  | 0.508  |
| 2     | GET    | /api/livestream/search?tag=%E7%94%9F%E6%94%BE%E9%80%81                                     | 0.232  | 2.320  | 2.552   | 1.276  | 2.320  |
| 203   | GET    | /api/tag                                                                                   | 0.004  | 0.264  | 2.384   | 0.012  | 0.108  |
| 72    | GET    | /api/livestream/\d+/ngwords                                                                | 0.008  | 0.096  | 2.320   | 0.032  | 0.096  |
| 2     | GET    | /api/livestream/search?tag=%E3%83%A8%E3%82%AC                                              | 0.196  | 1.864  | 2.060   | 1.030  | 1.864  |
| 185   | POST   | /api/login                                                                                 | 0.004  | 0.060  | 2.004   | 0.011  | 0.056  |
| 1     | GET    | /api/livestream/search?tag=%E6%96%B0%E4%BD%9C%E3%82%B2%E3%83%BC%E3%83%A0                   | 1.916  | 1.916  | 1.916   | 1.916  | 1.916  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%AC%E3%83%88%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%A0          | 1.700  | 1.700  | 1.700   | 1.700  | 1.700  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A2%E3%83%BC%E3%83%88%E9%85%8D%E4%BF%A1                   | 1.632  | 1.632  | 1.632   | 1.632  | 1.632  |
| 1     | GET    | /api/livestream/search?tag=%E6%A5%BD%E5%99%A8%E6%BC%94%E5%A5%8F                            | 1.532  | 1.532  | 1.532   | 1.532  | 1.532  |
| 1     | GET    | /api/livestream/search?tag=%E9%9F%B3%E6%A5%BD%E3%83%A9%E3%82%A4%E3%83%96                   | 1.348  | 1.348  | 1.348   | 1.348  | 1.348  |
| 112   | GET    | /api/livestream/\d+/report                                                                 | 0.004  | 0.056  | 1.212   | 0.011  | 0.052  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E7%94%9F%E6%94%BE%E9%80%81 | 1.152  | 1.152  | 1.152   | 1.152  | 1.152  |
| 1     | GET    | /api/livestream/search?tag=%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%BC%E3%83%88                   | 1.116  | 1.116  | 1.116   | 1.116  | 1.116  |
| 50    | POST   | /api/livestream/\d+/enter                                                                  | 0.004  | 0.060  | 0.812   | 0.016  | 0.060  |
| 42    | DELETE | /api/livestream/\d+/exit                                                                   | 0.008  | 0.036  | 0.664   | 0.016  | 0.036  |
| 2     | GET    | /api/livestream/search?tag=%E3%82%AC%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88%E7%B4%B9%E4%BB%8B | 0.160  | 0.196  | 0.356   | 0.178  | 0.196  |
| 1     | GET    | /api/livestream/search?tag=%E6%96%B0%E6%83%85%E5%A0%B1%E7%99%BA%E8%A1%A8                   | 0.252  | 0.252  | 0.252   | 0.252  | 0.252  |
| 1     | GET    | /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%96%E9%85%8D%E4%BF%A1                   | 0.248  | 0.248  | 0.248   | 0.248  | 0.248  |
| 1     | GET    | /api/livestream/search?tag=%E6%A4%85%E5%AD%90                                              | 0.240  | 0.240  | 0.240   | 0.240  | 0.240  |
| 1     | GET    | /api/livestream/search?tag=FPS                                                             | 0.196  | 0.196  | 0.196   | 0.196  | 0.196  |
| 1     | GET    | /api/livestream/search?tag=%E6%97%85%E8%A1%8C%E8%A8%98                                     | 0.156  | 0.156  | 0.156   | 0.156  | 0.156  |
| 10    | GET    | /api/user/.+/theme                                                                         | 0.000  | 0.020  | 0.084   | 0.008  | 0.020  |
| 1     | GET    | /api/payment                                                                               | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  |
| 1     | GET    | /api/livestream/7497                                                                       | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  |
| 3     | GET    | /api/user/me                                                                               | 0.004  | 0.004  | 0.004   | 0.001  | 0.004  |
| 1     | GET    | /api/user/test                                                                             | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  |
| 1     | GET    | /fapi/v1/order                                                                             | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  |
+-------+--------+--------------------------------------------------------------------------------------------+--------+--------+---------+--------+--------+
